Account_No	Loan_ID	Started_year	Started_date	Current Loan Amount	Monthly Debt	Interest.Rate	Maximum Open Credit
ACC125451199	74182-31601	2019	1/26/2019	360404	14809.36	13.16%	574750
ACC125464706	74820-99490	2020	05/08/2020	250866	8444.74	12.61%	569690
ACC125472829	121-82	2019	6/26/2019	612260	20821.34	10.16%	650870
ACC125497131	4812-107309	2019	05/10/2019	80982	14082.23	12.12%	101288
ACC125499368	184-121	2019	5/25/2019	110440	8144.73	18.75%	1148026
ACC125540173	179-104	2020	1/29/2020	131956	13723.32	13.11%	237578
ACC125573826	123-84	2019	04/06/2019	420684	9391.89	6.03%	415976
ACC125610599	176-105	2019	5/24/2019	135345	20902.09	19.47%	835824
ACC125612304	4544-95051	2019	03/12/2019	52932	54124.35	15.96%	1001308
ACC125637991	20784-207504	2019	11/08/2019	437580	17931.82	5.42%	613360
ACC125656260	15545-150885	2019	3/19/2019	268598	1997.47	6.03%	286286
ACC125681187	4771-104877	2020	3/21/2020	425524	20813.36	17.56%	1022318
ACC125683425	4451-83460	2019	7/14/2019	525910	26756.37	14.27%	877690
ACC125703239	4433-68820	2019	8/26/2019	467126	24064.64	8.59%	1285394
ACC125802433	79712-107922	2019	04/08/2019	577764	10688.83	18.29%	591448
ACC125823123	4327-1304	2019	03/02/2019	234740	14366.09	13.49%	300124
ACC125829928	22436-210404	2019	8/23/2019	390038	27631.89	15.80%	883080
ACC125851131	4881-120365	2019	5/21/2019	111364	23336.75	6.03%	688820
ACC125852853	4813-107732	2020	12/30/2019	222750	21161.25	21.00%	1477828
ACC125893661	74841-100500	2020	1/22/2020	44748	10035.04	16.02%	597784
ACC125954946	174-106	2019	10/09/2019	21934	16039.8	14.27%	256586
ACC125989052	4449-79361	2020	4/15/2020	252648	32810.15	17.54%	800206
ACC126023855	191-128	2020	3/13/2020	215314	15667.97	10.74%	279906
ACC126034928	4471-87100	2019	06/03/2019	130746	11780.38	16.29%	106788
ACC126051443	15687-157685	2019	06/05/2019	115566	17219.13	6.62%	383878
ACC126061456	74843-99493	2019	02/08/2019	52074	4743.16	12.42%	315766
ACC12608031	4221-46	2019	10/07/2019	55286	14737.92	17.77%	191224
ACC126080409	4552-95878	2019	1/22/2019	121572	20809.56	13.11%	544698
ACC126112037	73862-115466	2020	3/13/2020	78694	12015.98	13.11%	79398
ACC126114540	4501-93360	2020	4/22/2020	269324	45745.73	14.65%	1329944
ACC126171757	79601-107921	2019	10/31/2019	116138	5758.14	15.27%	167860
ACC126182680	4545-95047	2020	3/31/2020	65516	15936.25	8.49%	423654
ACC126192976	20386-204744	2019	8/16/2019	261140	10490.66	18.55%	348040
ACC126216130	74865-97799	2020	3/21/2020	131582	22303.15	10.91%	945054
ACC126217649	4376-10281	2019	2/14/2019	214698	9666.06	16.69%	315436
ACC126238540	4328-1527	2019	11/22/2019	85844	6882.18	15.80%	341022
ACC126292396	146-1	2020	04/01/2020	445940	27549.62	12.69%	793386
ACC126292475	4936-132644	2019	12/09/2019	135345	32745.93	16.49%	669834
ACC126300017	4405-29335	2019	11/10/2019	212366	19931.38	6.03%	257928
ACC126317215	28557-250196	2019	10/03/2019	135345	12146.51	8.32%	190080
ACC126333971	4500-90702	2019	9/13/2019	471152	18969.22	15.99%	1076966
ACC126369515	4234-522	2019	8/30/2019	336798	13129.57	10.16%	733062
ACC12638037	4538-95043	2019	02/12/2019	335192	14446.27	15.96%	511544
ACC126389929	28227-250195	2020	1/19/2020	172348	8102.17	15.05%	135344
ACC126407921	4546-95139	2019	1/31/2019	67342	9884.37	7.29%	0
ACC126414059	22059-215547	2019	12/02/2019	110902	15150.79	12.12%	495286
ACC126418493	72110-5632	2020	01/02/2020	348172	4044.15	12.12%	715242
ACC126462405	4786-105193	2019	2/20/2019	306592	19022.23	12.69%	411048
ACC126491043	4569-95644	2020	02/10/2020	440000	6234.47	17.14%	594066
ACC126494444	4326-1910	2019	5/27/2019	133034	14541.08	21.48%	905036
ACC126499918	190-127	2020	3/13/2020	212454	18403.4	7.62%	422906
ACC126557255	4530-94099	2019	1/25/2019	264418	21499.45	11.83%	363440
ACC126567456	4436-66860	2019	08/06/2019	262922	44632.52	12.12%	1405184
ACC126615624	4708-103126	2019	11/14/2019	135345	3987.91	8.59%	372460
ACC12661946	132-89	2019	3/29/2019	556160	51034	21.98%	1353594
ACC126640164	122-83	2019	1/24/2019	360162	18228.41	16.49%	307604
ACC126651860	130-87	2019	3/22/2019	476498	16718.1	19.91%	1310166
ACC126665200	192-130	2019	3/17/2019	288552	15493.36	20.49%	410322
ACC126699287	4223-178664	2019	5/17/2019	155782	5823.69	11.14%	556490
ACC126706220	15971-161531	2020	3/13/2020	287408	5652.88	17.77%	431222
ACC12671147	4659-100573	2019	6/16/2019	108240	12202.37	6.03%	201102
ACC126715840	4592-97024	2020	4/30/2020	249546	16279.77	11.14%	265430
ACC126730104	173-236	2020	04/04/2020	201146	16279.2	15.31%	737924
ACC126749387	4571-95427	2019	9/23/2019	220726	1120.24	7.88%	0
ACC12676715	4910-123407	2019	05/09/2019	758450	20960.8	18.49%	762872
ACC126789358	79572-107082	2020	3/18/2020	86262	19997.88	7.90%	1207338
ACC126802772	154-2143	2019	12/05/2019	134112	17952.72	6.03%	333366
ACC126895627	4754-104951	2020	1/19/2020	178860	13983.43	10.37%	268268
ACC126915572	16139-163904	2019	1/25/2019	224752	1536.72	15.27%	526988
ACC126931114	4617-98138	2019	08/12/2019	215270	6841.71	7.90%	264704
ACC126935841	4394-23251	2019	6/17/2019	625372	43587.9	15.31%	1473098
ACC126938080	128-199	2019	7/20/2019	171820	14025.04	15.31%	305118
ACC12697180	75634-78220	2020	2/15/2020	536602	10057.08	12.98%	136290
ACC126977958	70371-128728	2019	1/22/2019	110396	19505.02	17.77%	178970
ACC126984425	20831-207284	2019	08/05/2019	778316	52262.16	14.33%	2557412
ACC12698610	4594-97209	2020	2/25/2020	184690	8903.97	13.11%	293546
ACC127003142	74896-100388	2019	6/26/2019	216040	16014.53	16.29%	276782
ACC127067162	79592-102422	2019	2/19/2019	135345	8777.24	15.81%	208472
ACC127091015	79631-107918	2019	11/06/2019	668976	35242.91	13.11%	601326
ACC127118255	70329-139744	2020	04/06/2020	107316	4077.97	7.90%	423016
ACC127122766	4564-95253	2019	1/22/2019	417164	9271.81	10.37%	205832
ACC127131433	24759-226404	2020	4/29/2020	60962	5396.38	7.90%	574222
ACC127142044	4605-94980	2020	04/06/2020	525096	13985.71	13.12%	476872
ACC127157336	4699-102549	2019	11/26/2019	158136	2729.35	17.77%	115522
ACC127158514	17604-151645	2019	08/07/2019	225126	7188.46	10.00%	238744
ACC127220568	74465-67181	2019	11/30/2019	26400	24392.96	12.92%	1166968
ACC127263783	4794-104314	2020	3/24/2020	296274	13815.09	7.90%	869308
ACC127270087	75210-67280	2019	8/30/2019	393976	21347.83	10.38%	415800
ACC127300285	74712-97400	2019	9/17/2019	135345	16283.95	14.74%	520300
ACC127314693	4698-101646	2019	6/26/2019	55946	8655.45	7.51%	212828
ACC127346704	4444-149991	2020	1/20/2020	272646	26120.06	19.05%	1686894
ACC127354174	15964-161184	2020	05/01/2020	725406	36480	11.49%	862840
ACC127354303	25623-240886	2019	01/02/2019	129844	33888.21	20.49%	538868
ACC127420798	49104-265265	2019	1/16/2019	612304	14248.67	12.12%	1411344
ACC127426191	79675-102423	2020	02/12/2020	257400	3132.53	20.49%	175824
ACC127462021	4441-76120	2019	10/06/2019	135345	21486.72	14.27%	2273568
ACC127470572	48787-264165	2020	1/13/2020	279488	6837.91	16.29%	315986
ACC127508259	4793-106768	2019	06/03/2019	485408	24789.68	16.29%	364210
ACC127570954	4445-14131	2019	07/08/2019	324368	6797.82	10.74%	346500
ACC127619845	4896-119284	2019	06/12/2019	135345	42341.88	6.62%	577390
ACC127644040	74867-97803	2019	7/19/2019	135345	18759.27	11.12%	1036354
ACC12764480	78053-98260	2020	04/07/2020	264286	14784.85	19.05%	495484
ACC1276737	27177-145351	2019	10/21/2019	605836	39505.18	18.25%	1437612
ACC12772754	4693-102049	2020	05/12/2020	135345	19007.03	6.03%	346500
ACC127733020	24249-226405	2019	8/23/2019	223168	20566.55	16.82%	918434
ACC127781776	4565-95546	2019	05/09/2019	359392	19534.85	11.14%	396440
ACC127844722	6068-147845	2019	11/15/2019	135345	29879.21	15.68%	713482
ACC127892243	4884-116244	2019	03/08/2019	135345	4471.46	11.58%	477114
ACC12790033	25788-232624	2019	8/28/2019	343552	12334.23	7.90%	242704
ACC127907000	28725-250170	2020	1/28/2020	415910	12301.93	8.90%	263230
ACC127925823	4827-106769	2020	4/23/2020	424468	23842.53	17.77%	274164
ACC127936723	21451-199285	2020	3/29/2020	324060	15509.13	13.23%	669966
ACC127966807	74713-97404	2020	12/31/2019	135345	25203.12	6.17%	1504426
ACC127980295	4883-108964	2020	2/17/2020	251614	5009.73	15.95%	356554
ACC127985210	4985-137687	2020	1/26/2020	412060	15418.5	10.65%	472384
ACC128003994	74687-94468	2019	10/01/2019	39006	6034.4	19.05%	201630
ACC128008286	4487-90503	2019	2/19/2019	67276	402.8	17.27%	38104
ACC12801617	4335-1972	2019	7/26/2019	175010	23390.33	7.91%	809600
ACC128115022	16665-168424	2020	4/30/2020	232760	13526.1	13.11%	938828
ACC128132192	79647-107919	2020	4/23/2020	176528	4957.48	11.14%	463782
ACC128208975	4882-119424	2019	10/16/2019	338162	21040.6	6.92%	654478
ACC128210282	4463-86641	2019	09/06/2019	486002	24866.63	13.43%	614240
ACC128217829	74728-97401	2019	6/17/2019	46596	10274.44	12.12%	361086
ACC128266161	28454-250207	2020	04/03/2020	311960	8779.14	13.11%	344212
ACC128266289	28659-250129	2019	10/05/2019	71698	3409.74	13.49%	180994
ACC12826888	4465-85802	2020	03/11/2020	329604	14648.05	19.72%	968462
ACC128270591	4952-131364	2019	11/20/2019	638660	26053.37	13.11%	1151876
ACC128333538	4333-1971	2019	12/13/2019	548174	24272.88	14.33%	503734
ACC128343337	4984-138086	2019	11/08/2019	215974	25180.7	17.77%	356092
ACC128347686	72126-4209	2019	02/01/2019	731852	25057.01	14.33%	172172
ACC128412081	26034-241733	2020	3/22/2020	563750	20351.47	14.09%	1110560
ACC12841255	25594-239504	2019	08/04/2019	21824	6163.6	14.46%	21824
ACC128427318	4091-140808	2019	05/08/2019	255662	14561.22	8.90%	395208
ACC128446055	72155-6871	2019	11/12/2019	135345	7714.95	6.03%	165924
ACC128446378	22841-223365	2020	04/02/2020	467324	12266.21	16.29%	750178
ACC128458557	28660-250130	2019	4/15/2019	80234	7660.23	14.09%	66880
ACC128461274	17729-177265	2019	9/24/2019	377674	14873.39	13.11%	2149312
ACC128482497	22919-225884	2019	5/22/2019	112508	5549.9	8.00%	0
ACC128494076	19649-193304	2019	10/10/2019	355124	22747.37	7.29%	951544
ACC12850137	4094-140809	2019	03/11/2019	761222	48758.56	14.09%	2883320
ACC12857533	28452-250123	2019	3/25/2019	135124	11816.1	14.65%	326348
ACC128603843	20294-204747	2019	11/27/2019	66550	31756.98	16.32%	864886
ACC128692031	4110-141708	2019	08/05/2019	129668	10887.19	17.27%	198770
ACC128700240	72173-16274	2019	8/24/2019	216106	23202.8	11.14%	527494
ACC128706300	22605-222145	2019	9/26/2019	443960	67218.39	17.49%	170874
ACC128730742	16187-159524	2019	12/30/2018	128986	16472.81	12.12%	107910
ACC128752651	22606-222684	2019	03/02/2019	554906	30510.96	16.29%	1438360
ACC128819181	23046-222104	2019	10/08/2019	624250	23384.63	14.11%	864864
ACC128845613	4093-140807	2019	3/25/2019	135345	4489.89	13.11%	13222
ACC128864443	4089-249606	2019	03/09/2019	135345	11149.2	13.11%	1192730
ACC128912370	19866-195705	2019	10/21/2019	366014	21271.07	14.33%	646932
ACC128932359	72141-4624	2019	12/04/2019	334290	10826.39	7.90%	0
ACC128949196	11024-144129	2019	8/29/2019	154594	10075.51	15.31%	255420
ACC128952280	23087-222344	2019	6/23/2019	661188	31434.93	11.09%	791362
ACC12898302	3894-142225	2019	01/10/2019	501138	14679.97	15.31%	1184568
ACC129012150	22918-225964	2020	03/03/2020	555170	23014.32	7.90%	333256
ACC129031304	16116-167364	2019	5/30/2019	51414	6885.79	18.25%	94006
ACC12905652	24695-228904	2019	4/18/2019	263714	72357.89	10.74%	760078
ACC129056795	6149-147151	2019	8/30/2019	327294	19189.62	7.40%	294734
ACC129067201	4085-255631	2019	3/14/2019	195096	14950.53	14.26%	296670
ACC129092754	12465-151926	2019	4/17/2019	212256	20261.22	11.71%	348898
ACC129100979	75986-107397	2019	8/14/2019	135345	27731.83	8.90%	433752
ACC129107354	4087-140776	2020	4/21/2020	120274	13504.25	15.80%	981948
ACC129112082	8146-151147	2020	4/15/2020	218878	11115.76	12.61%	356466
ACC129117758	75569-49259	2019	3/18/2019	197032	22156.09	13.67%	476872
ACC129136282	4088-140778	2020	04/05/2020	186362	8492.62	24.70%	326766
ACC129166737	4086-140770	2019	3/29/2019	233508	6644.49	14.61%	966724
ACC129176553	20568-206464	2019	1/28/2019	35816	20074.83	16.29%	501380
ACC129261803	72119-3609	2019	02/01/2019	135345	12548.55	11.14%	521642
ACC12926921	25882-242385	2019	12/31/2018	693660	55460.05	17.77%	630542
ACC129282943	4304-853	2020	03/12/2020	48268	4013.18	13.67%	138292
ACC129304076	4860-106552	2020	04/04/2020	786940	36821.43	11.11%	1779514
ACC129305860	4901-113505	2020	3/30/2020	142912	6147.64	12.23%	301158
ACC129306041	23048-225065	2020	1/30/2020	107360	8793.58	11.49%	488576
ACC129315477	49241-265204	2019	07/05/2019	317152	18567.94	15.81%	797588
ACC12933556	4279-865	2019	07/09/2019	386408	19289.56	16.29%	798116
ACC129348609	4902-115125	2020	3/26/2020	152746	10718.66	10.16%	159258
ACC129349567	5023-145349	2019	12/30/2018	264748	11971.71	15.99%	540584
ACC129369923	4340-1875	2020	05/10/2020	325248	14561.98	13.49%	1407604
ACC129376050	4761-103569	2019	1/20/2019	313456	20980.75	16.77%	725494
ACC129426433	4789-107086	2019	7/22/2019	130064	11389.55	11.14%	119262
ACC129444494	16300-157424	2019	11/04/2019	43626	19418.95	6.03%	318384
ACC12944809	17995-156064	2019	1/29/2019	108174	10580.72	7.90%	737154
ACC129456660	4489-92622	2019	8/18/2019	445192	18250.07	7.90%	788898
ACC129473895	4329-1750	2019	11/17/2019	331562	17562.08	13.99%	543422
ACC129515153	28081-243409	2019	8/30/2019	219758	17751.7	6.03%	98912
ACC129549961	28649-250180	2020	3/20/2020	127952	16076.28	12.12%	268136
ACC129561990	4358-2079	2019	10/12/2019	699006	16349.88	11.14%	204996
ACC12958477	17843-173859	2019	08/08/2019	191092	20161.47	19.72%	568942
ACC129592813	19572-200494	2020	02/01/2020	66484	2795.28	7.91%	166188
ACC129597952	48145-261615	2019	1/31/2019	129976	10008.44	12.12%	142934
ACC129601800	4343-2067	2020	03/06/2020	536492	14069.12	19.05%	1347544
ACC129617315	28325-250197	2019	11/20/2019	135345	24184.15	7.90%	1142592
ACC129635400	23274-210524	2019	11/26/2019	262460	18049.24	13.67%	542432
ACC12963744	4344-1729	2019	01/12/2019	270226	26717.23	11.48%	913946
ACC1296603	79267-99847	2020	02/07/2020	173712	11978.55	12.53%	271524
ACC129667971	23314-210525	2020	03/05/2020	453530	16571.23	5.99%	628430
ACC129736807	3515-141345	2019	1/13/2019	226512	10180.77	14.65%	109648
ACC129802451	15121-153346	2019	10/20/2019	538450	34876.97	17.93%	417538
ACC12980380	27008-241205	2019	3/23/2019	234102	20121	16.32%	767052
ACC129819816	18196-186624	2020	01/06/2020	155078	30357.82	14.11%	349844
ACC129841631	4800-104920	2019	9/19/2019	198484	15633.2	8.90%	744744
ACC129842562	4897-109785	2019	04/06/2019	120472	8638.16	8.90%	206162
ACC129865268	28455-250201	2019	2/24/2019	40524	6611.24	6.03%	40524
ACC129867108	28806-251285	2019	09/10/2019	207636	2015.9	22.95%	307208
ACC129902824	18433-182389	2019	7/18/2019	173118	17604.45	13.11%	183964
ACC129903142	4511-93329	2019	1/24/2019	109318	32556.12	10.65%	1789942
ACC129909232	4494-93178	2020	4/30/2020	225060	17864.18	8.90%	270006
ACC129909487	73863-106113	2019	06/04/2019	394900	15878.87	14.33%	611688
ACC129944402	19770-183025	2019	02/05/2019	198616	16492.19	18.55%	109670
ACC129949151	4709-103125	2019	6/16/2019	519024	38328.13	16.89%	1126708
ACC129984533	4678-100978	2019	01/09/2019	756932	29015.85	18.25%	1242164
ACC129987508	4675-100793	2020	2/24/2020	399168	11883.74	12.42%	470448
ACC130020864	16467-157224	2020	2/22/2020	78430	2970.46	7.90%	134200
ACC130046524	79269-99848	2020	03/01/2020	429264	9391.89	12.12%	229900
ACC130048535	4214-528	2019	11/03/2019	65692	17509.83	18.49%	841082
ACC130060032	16499-170404	2020	4/23/2020	306240	9725.72	7.66%	93192
ACC130075381	19587-177724	2019	3/19/2019	256454	29800.36	11.11%	825572
ACC130083328	4097-139548	2020	1/30/2020	135345	32079.6	11.36%	921646
ACC130100308	4886-107868	2019	5/22/2019	306130	18191.55	14.33%	590370
ACC130101855	4904-114726	2019	1/23/2019	266860	29336	12.12%	583682
ACC130167153	4488-92620	2019	1/24/2019	171952	13612.74	16.29%	165616
ACC130180892	75537-60379	2020	4/21/2020	135345	27409.97	10.99%	412808
ACC13019210	4612-220385	2019	07/03/2019	142824	12886.75	14.33%	1038092
ACC130220215	29393-253446	2019	7/26/2019	324258	34180.43	14.83%	3649624
ACC130245094	74755-97369	2020	03/03/2020	108064	5920.21	7.14%	45034
ACC130270483	15722-155290	2019	11/20/2019	111012	2015.52	11.14%	383724
ACC130280893	25595-241230	2019	10/03/2019	522500	24274.21	11.71%	680834
ACC130301674	29175-252813	2019	4/14/2019	325512	15044.77	12.12%	242462
ACC130336914	4291-1393	2019	11/25/2019	67562	19490.77	8.90%	130636
ACC130348762	79560-102424	2020	3/17/2020	718498	30122.22	6.62%	890714
ACC130379898	49643-269865	2020	05/03/2020	303050	18487	12.12%	317306
ACC130383500	4357-2069	2019	11/17/2019	78430	11384.61	12.12%	309144
ACC130388074	23284-222864	2019	4/19/2019	218174	12947.93	10.16%	208318
ACC130412401	4288-1222	2019	01/10/2019	265408	13036.28	21.49%	311586
ACC130436420	5033-151647	2019	1/29/2019	449680	36263.21	10.38%	707388
ACC13045018	47247-256549	2019	1/14/2019	269478	26143.05	13.11%	575212
ACC130468154	22642-222004	2019	06/06/2019	310948	12634.81	7.90%	495110
ACC130478162	27779-242428	2019	08/10/2019	433752	28306.01	7.90%	546656
ACC130506713	24142-223752	2019	04/12/2019	212058	7313.1	5.79%	386474
ACC130527559	4747-104225	2019	1/16/2019	213752	19056.81	14.33%	755326
ACC130531930	21992-186228	2019	10/10/2019	112706	7688.92	11.71%	220814
ACC130547342	17732-182187	2019	1/21/2019	135345	3623.11	17.88%	148346
ACC130607937	4915-122111	2019	8/31/2019	519508	35214.98	14.33%	664334
ACC130610867	15040-156565	2019	09/09/2019	150216	9551.3	12.12%	183040
ACC130618141	17203-171524	2019	1/17/2019	327008	3749.84	14.09%	573650
ACC130681978	4323-1693	2020	03/10/2020	214522	6441.19	13.98%	214654
ACC130691201	25320-235147	2019	10/13/2019	543466	10572.93	13.49%	908182
ACC130710345	4336-1907	2019	12/30/2018	118514	2289.12	14.09%	127226
ACC130720715	17016-173984	2019	5/16/2019	171776	9462	13.99%	210518
ACC130783817	4575-95544	2020	1/25/2020	238854	16652.74	13.67%	293348
ACC130785158	4472-85804	2020	1/19/2020	135345	15804.39	12.69%	740542
ACC130793980	74756-97368	2020	2/19/2020	352396	19972.04	13.11%	746988
ACC130795163	4694-102072	2019	04/08/2019	673464	25737.02	12.12%	1208394
ACC13081143	4892-117884	2019	04/01/2019	257444	17985.4	16.29%	765468
ACC130838794	28324-250179	2020	1/31/2020	642246	12581.42	14.09%	645194
ACC130843507	16864-150416	2019	7/30/2019	112728	8031.11	11.71%	281512
ACC130874749	4648-99931	2019	11/12/2019	237930	30511.72	14.33%	201938
ACC130905221	4523-93970	2020	3/23/2020	287386	34.96	16.82%	0
ACC130923628	4314-1747	2019	2/26/2019	545842	36331.8	13.11%	935858
ACC130929634	4762-245326	2020	5/15/2020	670758	34693.24	6.99%	272668
ACC130930040	4582-96129	2019	09/02/2019	613668	31384.77	12.42%	2335982
ACC130954644	4338-1867	2019	9/29/2019	245278	15648.59	21.98%	291962
ACC130996261	15718-159544	2019	02/01/2019	398222	22440.52	13.11%	1006654
ACC131006125	28724-250194	2019	1/16/2019	153362	19174.42	7.62%	714252
ACC13101906	4815-107007	2019	8/30/2019	85954	1874.35	16.63%	193336
ACC131028061	15624-157004	2020	1/24/2020	308858	11868.54	10.16%	289564
ACC131090736	4668-101117	2020	1/23/2020	348524	16963.2	14.17%	576818
ACC131101438	25621-241324	2020	03/02/2020	718916	8092.48	6.03%	478082
ACC131115506	4955-129648	2019	6/20/2019	278740	16457.8	15.80%	240680
ACC131115642	28459-250176	2019	09/03/2019	346522	10387.49	15.31%	966196
ACC131117070	4674-100799	2019	8/13/2019	261052	24305.94	21.67%	751322
ACC131122177	4722-103297	2019	12/05/2019	173338	19703.38	17.77%	765402
ACC131135452	18277-171664	2019	8/21/2019	138534	13568.66	14.33%	56298
ACC131217066	16238-168084	2019	09/04/2019	44726	9094.92	13.99%	190234
ACC131217218	4822-106553	2020	04/04/2020	217470	12201.99	8.94%	1769240
ACC131258189	4492-91422	2019	02/07/2019	644094	34859.11	6.03%	534402
ACC131274535	15744-159744	2019	01/09/2019	244420	31585.22	12.21%	2289430
ACC131281196	17242-171645	2019	7/13/2019	189376	18704.55	7.90%	239470
ACC131340584	4570-95595	2019	09/06/2019	108856	23688.63	11.14%	509498
ACC131381239	4700-102138	2019	6/27/2019	216194	10820.69	17.49%	419298
ACC131405800	4536-94593	2019	11/16/2019	135345	25382.29	20.30%	591228
ACC131427230	18475-164544	2019	11/08/2019	107492	3936.8	11.89%	111782
ACC131435767	24023-226946	2020	03/11/2020	455532	6419.34	12.42%	856680
ACC131439584	16210-155886	2019	3/30/2019	204600	16028.4	19.72%	540012
ACC131445340	21343-165744	2020	04/06/2020	135345	32513.94	6.62%	1404436
ACC131447663	4294-1276	2020	1/28/2020	505912	13835.04	12.12%	1676642
ACC131450052	4729-102626	2019	2/26/2019	135345	14277.17	10.16%	1239568
ACC131458548	4317-1381	2019	7/20/2019	135345	14294.27	10.16%	254232
ACC131495818	6189-149865	2019	5/21/2019	135345	38843.22	13.11%	1904386
ACC131507730	73734-106121	2020	3/13/2020	172040	7828	8.90%	310508
ACC131512160	28654-250127	2019	1/29/2019	135345	10948.94	22.47%	536382
ACC131529830	73735-106117	2020	3/17/2020	135345	30017.91	13.11%	461098
ACC131538455	4927-122112	2019	1/22/2019	135345	15925.23	11.49%	199276
ACC13154590	4609-97961	2019	10/18/2019	780560	43383.84	12.12%	618200
ACC131558727	4965-126344	2019	10/29/2019	441452	20717.79	22.78%	345620
ACC131561299	4580-96128	2020	05/04/2020	111078	9454.97	13.67%	1289772
ACC131565776	4951-128928	2019	4/17/2019	444840	10995.3	10.38%	613910
ACC131591516	4252-786	2019	1/18/2019	178178	4446	14.09%	324676
ACC131610046	73966-138016	2019	5/15/2019	371272	18858.07	14.09%	541420
ACC131612964	19865-177964	2019	01/10/2019	432168	24229.94	12.69%	457886
ACC131695332	16903-173366	2019	7/29/2019	268708	16454.57	5.79%	201542
ACC131709236	4014-138344	2019	05/07/2019	135345	44228.2	7.88%	1247180
ACC131739465	4833-107475	2019	7/29/2019	215886	8809.54	15.31%	304612
ACC131742945	4584-96820	2020	03/04/2020	544940	16398.9	7.51%	1453254
ACC131766966	4756-104231	2020	2/25/2020	135345	19164.35	7.49%	1154560
ACC13180708	4912-108636	2019	06/05/2019	789096	39956.43	6.62%	2589576
ACC131830970	75482-115327	2019	2/20/2019	444444	25768.37	6.62%	1017698
ACC131899461	75924-102701	2020	4/14/2020	536976	27453.48	17.19%	968550
ACC131922256	23283-228465	2020	04/02/2020	223080	14379.77	18.49%	269698
ACC131952766	16013-164904	2019	10/18/2019	329780	7957.77	13.11%	145464
ACC131954537	20593-206884	2019	2/28/2019	451154	43246.28	14.09%	932624
ACC131987154	4665-100880	2019	01/09/2019	135345	23925.56	13.11%	411158
ACC131997574	4478-89926	2019	9/30/2019	116930	10366.4	10.16%	101112
ACC132012583	21784-214585	2019	11/16/2019	167772	11981.78	14.09%	131274
ACC132013301	12467-138345	2019	7/24/2019	392722	15089.42	15.95%	375056
ACC13204651	29141-252625	2019	12/08/2019	178486	6224.59	17.14%	229724
ACC132099724	4303-1148	2019	10/10/2019	120164	7288.59	12.42%	584078
ACC1321041	4278-885	2019	03/07/2019	217514	4996.81	14.59%	202202
ACC132136524	20687-181584	2020	01/03/2020	234058	14126.69	16.89%	169356
ACC132138021	4635-99050	2019	06/03/2019	223234	5668.08	15.80%	203214
ACC132142832	4872-106562	2019	11/08/2019	428846	13854.61	12.12%	990132
ACC132147919	75933-106225	2019	3/20/2019	67562	5055.33	13.11%	759418
ACC132155157	4408-6346	2019	8/27/2019	583352	15582.47	13.67%	1847208
ACC132210952	24039-235146	2019	3/28/2019	348348	6938.04	12.42%	265562
ACC132214335	17341-179604	2020	01/03/2020	43758	7503.86	15.81%	183590
ACC132233677	18725-193808	2019	04/09/2019	411730	18020.55	18.55%	592856
ACC13225959	16201-140064	2019	03/03/2019	776710	22921.79	9.91%	658482
ACC132284093	25874-242409	2020	4/26/2020	215578	8291.22	16.29%	407154
ACC13229479	27312-247111	2019	07/10/2019	198308	4753.99	12.98%	112310
ACC132345975	17557-181764	2020	3/26/2020	272866	11670.75	10.99%	445456
ACC132353996	4007-142104	2020	1/28/2020	292490	21713.01	7.62%	811800
ACC132378799	4290-1226	2019	7/18/2019	668712	53902.24	15.80%	265100
ACC132379275	4829-109065	2020	4/20/2020	220880	1797.97	15.31%	225038
ACC132382425	4469-87801	2020	01/06/2020	110286	12280.46	14.83%	70620
ACC13239708	70312-140344	2019	05/09/2019	249480	7925.28	14.09%	701580
ACC132409895	16144-164684	2019	5/18/2019	334400	20295.61	13.11%	463804
ACC132413633	75624-84981	2019	4/13/2019	325578	12934.25	7.90%	329890
ACC132422832	4657-100002	2020	4/26/2020	111034	25891.11	14.09%	357258
ACC132435002	26167-242427	2020	4/19/2020	420684	15469.04	8.90%	529474
ACC132549201	28642-250182	2019	3/29/2019	267806	10688.83	11.14%	319220
ACC132611843	15841-164465	2019	04/11/2019	346544	24073.95	14.84%	944130
ACC132648181	75687-84980	2019	10/31/2019	24684	18310.49	12.12%	246026
ACC132652560	75688-84983	2020	1/13/2020	207680	7589.74	14.82%	390522
ACC132676524	19818-186625	2019	12/06/2019	110836	3407.46	15.80%	255090
ACC132678906	25873-241154	2019	4/26/2019	676170	18297.57	22.47%	1120196
ACC132734828	4458-84661	2019	09/01/2019	548790	6885.6	11.11%	402930
ACC13274065	4476-87552	2019	9/23/2019	185306	17948.35	11.71%	130768
ACC132765715	17799-168425	2020	1/19/2020	135345	33315.17	13.11%	410036
ACC132838143	4916-124147	2019	5/28/2019	173624	24835.09	13.75%	313874
ACC132861049	4292-1221	2020	2/26/2020	534556	11249.52	15.31%	1949112
ACC132861596	28379-250190	2019	05/11/2019	729542	57414.77	7.90%	1369302
ACC132876536	4764-105712	2019	10/26/2019	287034	16331.83	15.80%	830060
ACC132881536	75571-68502	2020	1/31/2020	560956	35325.56	6.91%	2592348
ACC132887825	75633-86381	2019	03/06/2019	782936	29373.24	9.63%	1115840
ACC132888805	18962-181665	2019	07/04/2019	135345	3265.53	8.63%	413798
ACC132928775	20296-104210	2019	02/08/2019	215798	2502.87	11.71%	211442
